evid,origin_time,latitude,longitude,ml_KMA,mw_spectra,mw_mad_spectra,fc_spectra,fc_mad_spectra,nsta_spectra,mw_TD,mw_mad_TD,fc_TD,fc_mad_TD,nsta_TD
20170103200047 ,2017-01-03T20:00:47.000000Z,36.58,129.24,2.5,2.88,0.01,6,0.24,31,2.93,0.12,5.04,1.59,30
20170105203113 ,2017-01-05T20:31:13.000000Z,35.75,129.17,3.3,3.34,0.02,4,0.17,28,3.3,0.11,3.83,1.69,27
20170105203323 ,2017-01-05T20:33:23.000000Z,35.75,129.18,2.2,2.45,0.02,9.42,0.57,26,2.32,0.13,13.01,2.99,21
20170110151005 ,2017-01-10T15:10:05.000000Z,36.44,128.42,2.1,2.16,0.02,6.15,0.32,35,2.09,0.13,5.96,2.41,29
20170114025255 ,2017-01-14T02:52:55.000000Z,35.17,127.79,2.2,2.54,0.02,6.43,0.38,33,2.45,0.08,6.87,2.67,33
20170116105413 ,2017-01-16T10:54:13.000000Z,36.33,126.59,2.1,2.34,0.01,9.87,0.51,22,2.36,0.09,7.91,1.98,21
20170118034953 ,2017-01-18T03:49:53.000000Z,35.02,125.06,2.5,2.71,0.04,5.93,0.68,3,2.74,0.07,4.15,1.59,3
20170120182738 ,2017-01-20T18:27:38.000000Z,35.75,129.18,2.6,2.92,0.02,4.74,0.24,27,2.9,0.1,4.38,1.58,25
20170123190756 ,2017-01-23T19:07:56.000000Z,35.77,129.17,2.6,2.88,0.02,5,0.23,24,2.83,0.12,6.01,1.94,24
20170126135338 ,2017-01-26T13:53:38.000000Z,33.54,126.87,2,2.29,0.06,4.37,0.63,3,2.24,0.02,4.49,2.08,3
20170129044553 ,2017-01-29T04:45:53.000000Z,38.7,127.16,2.6,3,0.02,4.62,0.28,9,2.93,0.06,5.96,1.99,8
20170205100729 ,2017-02-05T10:07:29.000000Z,33.61,126.73,2.5,2.68,0.05,7.31,1,7,2.52,0.11,7.91,1.2,7
20170209202241 ,2017-02-09T20:22:41.000000Z,35.65,129.57,2.2,2.64,0.02,5.87,0.31,21,2.57,0.07,5.52,1.26,20
20170212002227 ,2017-02-12T00:22:27.000000Z,35.69,129.58,2.3,2.58,0.02,7.85,0.38,21,2.48,0.08,9.86,2.99,20
20170215173456 ,2017-02-15T17:34:56.000000Z,35.78,129.2,2.9,3.04,0.01,5.35,0.21,27,3,0.09,5.65,1.74,25
20170216092019 ,2017-02-16T09:20:19.000000Z,35.64,128.09,2.3,2.61,0.01,7.45,0.3,39,2.61,0.1,6.85,2.94,38
20170218075349 ,2017-02-18T07:53:49.000000Z,33.23,126.18,2,2.51,0.04,4.75,0.42,5,2.43,0.18,5.59,1.94,4
20170218115819 ,2017-02-18T11:58:19.000000Z,35.23,126.94,2.4,2.47,0.01,14.43,0.74,39,2.47,0.11,11.86,4.26,38
20170220182111 ,2017-02-20T18:21:11.000000Z,35.76,129.2,2.1,2.34,0.02,9.17,0.52,27,2.25,0.11,12.1,3.35,27
20170222040850 ,2017-02-22T04:08:50.000000Z,35.77,129.18,2.1,2.26,0.02,8.55,0.52,22,2.15,0.09,10.88,4.53,19
20170223120351 ,2017-02-23T12:03:51.000000Z,37.4,124.89,3.1,3.15,0.07,3.02,0.44,3,3.1,0.01,2.9,1.55,3
20170224023444 ,2017-02-24T02:34:44.000000Z,36.38,127.79,2.3,2.61,0.01,7.24,0.28,34,2.6,0.07,6.37,1.6,32
20170224215844 ,2017-02-24T21:58:44.000000Z,35.74,129.17,2.2,2.61,0.02,6.84,0.31,27,2.54,0.1,7.91,2.7,26
20170224215907 ,2017-02-24T21:59:07.000000Z,35.74,129.18,2.4,2.72,0.02,8.03,0.51,7,2.47,0.23,14.26,2.24,8
20170303213312 ,2017-03-03T21:33:12.000000Z,35.99,127.95,2.3,2.79,0.01,6.05,0.21,39,2.78,0.09,5.68,2.07,38
20170304225204 ,2017-03-04T22:52:04.000000Z,35.75,129.17,2.4,2.55,0.01,7.8,0.34,25,2.54,0.09,7.91,3.52,25
20170305001827 ,2017-03-05T00:18:27.000000Z,37.75,129.66,3.2,3.5,0.03,3.74,0.29,8,3.4,0.08,4.08,0.84,8
20170305002849 ,2017-03-05T00:28:49.000000Z,37.74,129.69,2.4,2.29,0.05,10.21,1.75,3,2.1,0.02,8.69,2.73,3
20170305060940 ,2017-03-05T06:09:40.000000Z,37.72,129.59,2.1,2.24,0.03,7.66,0.62,5,2.3,0.08,8.3,1.73,6
20170305101907 ,2017-03-05T10:19:07.000000Z,37.77,129.7,2.1,2.33,0.03,13.13,0.86,4,2.37,0.02,9.31,1.43,4
20170305212133 ,2017-03-05T21:21:33.000000Z,35.75,126.1,2,2.18,0.02,7.38,0.38,8,2.17,0.09,8.33,1.82,8
20170306184807 ,2017-03-06T18:48:07.000000Z,36.3,128.23,2.2,2.55,0.01,9.83,0.39,40,2.53,0.09,7.91,3.2,39
20170306215336 ,2017-03-06T21:53:36.000000Z,37.75,129.71,2.6,2.62,0.05,8.06,1.24,5,2.55,0.12,6.84,1.57,4
20170308172431 ,2017-03-08T17:24:31.000000Z,35.82,129.78,2,2.21,0.03,5.11,0.39,12,2.01,0.1,6.91,2.85,11
20170313204143 ,2017-03-13T20:41:43.000000Z,34.64,127.78,2.1,2.27,0.02,11.27,0.74,28,2.28,0.18,12.92,5.58,24
20170318180114 ,2017-03-18T18:01:14.000000Z,33.32,127.18,2.9,2.91,0.02,6.36,0.42,5,2.92,0.06,7.91,3.06,5
20170321141948 ,2017-03-21T14:19:48.000000Z,38.52,126.03,2.4,2.53,0.05,5.79,0.77,4,2.59,0.07,4.75,2.67,4
20170327002826 ,2017-03-27T00:28:26.000000Z,35.21,126.95,2,2.37,0.02,7.89,0.42,31,2.32,0.08,7.53,2.95,31
20170327154839 ,2017-03-27T15:48:39.000000Z,37.17,125.48,2.2,2.15,0.05,9.53,1.49,5,2.14,0.05,8.47,2.03,5
20170328064538 ,2017-03-28T06:45:38.000000Z,35.79,129.2,2,2.22,0.02,8.71,0.51,21,2.04,0.11,13.19,4.09,21
20170330124953 ,2017-03-30T12:49:53.000000Z,35.76,129.19,2,2.28,0.02,10.21,0.67,25,2.31,0.08,10.05,4.64,22
20170331044609 ,2017-03-31T04:46:09.000000Z,35.78,129.2,3.3,3.43,0.02,4.33,0.19,26,3.41,0.09,4.45,1.92,26
20170331045328 ,2017-03-31T04:53:28.000000Z,35.78,129.2,2.5,2.78,0.01,6.85,0.28,27,2.72,0.09,6.77,3.44,26
20170401070416 ,2017-04-01T07:04:16.000000Z,35.78,129.2,2.2,2.53,0.01,7.06,0.31,27,2.47,0.09,6.87,2.37,27
20170404142552 ,2017-04-04T14:25:52.000000Z,35.67,129.85,2.2,2.46,0.02,7.5,0.42,13,2.27,0.09,10.79,4.14,13
20170406150409 ,2017-04-06T15:04:09.000000Z,35.97,127.8,2,2.2,0.01,9.73,0.48,31,2.17,0.14,11.31,4.66,30
20170408092049 ,2017-04-08T09:20:49.000000Z,35.76,129.18,2.7,2.72,0.01,6.41,0.28,27,2.65,0.09,6.39,2.53,27
20170408164553 ,2017-04-08T16:45:53.000000Z,35.76,129.2,2.1,2.39,0.02,8.67,0.5,26,2.3,0.11,10.13,4.5,23
20170409190249 ,2017-04-09T19:02:49.000000Z,35.16,128.77,2.3,2.08,0.03,8.04,0.77,13,2.04,0.04,10.36,1.69,11
20170414204152 ,2017-04-14T20:41:52.000000Z,35.76,129.18,2.2,2.4,0.02,9.22,0.51,20,2.42,0.15,9.24,2.53,20
20170415023113 ,2017-04-15T02:31:13.000000Z,36.11,129.36,3.1,3.42,0.03,2.38,0.14,23,3.59,0.05,1.91,0.55,22
20170415081647 ,2017-04-15T08:16:47.000000Z,36.11,129.37,2,2.34,0.02,5.71,0.35,15,2.32,0.14,6.87,2.38,17
20170417161744 ,2017-04-17T16:17:44.000000Z,35.76,129.18,2,2.35,0.02,9.73,0.5,27,2.24,0.07,11.79,5.06,25
20170418083638 ,2017-04-18T08:36:38.000000Z,35.5,128.88,2.1,2.28,0.02,9.31,0.56,24,2.19,0.11,10.86,5.14,24
20170420070021 ,2017-04-20T07:00:21.000000Z,33.77,127.28,3.2,3.28,0.03,5.52,0.46,9,3.26,0.11,5.58,3.74,9
20170428021923 ,2017-04-28T02:19:23.000000Z,36.6,128.81,2.1,2.64,0.01,7.03,0.27,33,2.61,0.11,7.37,2.65,34
20170503160827 ,2017-05-03T16:08:27.000000Z,36.61,129.44,2.6,2.98,0.02,5.22,0.22,20,2.97,0.08,4.25,0.93,19
20170504124623 ,2017-05-04T12:46:23.000000Z,36.74,128.1,2.4,2.77,0.01,5.95,0.25,36,2.77,0.1,5.57,1.63,36
20170504150255 ,2017-05-04T15:02:55.000000Z,36.73,128.1,2,2.51,0.01,7.38,0.3,37,2.52,0.12,6.65,1.93,37
20170505141621 ,2017-05-05T14:16:21.000000Z,35.32,127.43,3,3.28,0.01,4.82,0.19,40,3.36,0.15,3.91,1.23,40
20170510050647 ,2017-05-10T05:06:47.000000Z,35.88,126.19,2.5,2.74,0.02,12.01,0.75,15,2.74,0.11,9.5,2.99,15
20170510133114 ,2017-05-10T13:31:14.000000Z,36.61,129.45,2.1,2.46,0.02,6.45,0.33,17,2.44,0.07,6.52,1.34,17
20170513093723 ,2017-05-13T09:37:23.000000Z,36.61,129.44,2.8,3.21,0.02,3.91,0.19,19,3.27,0.06,3.39,1.17,19
20170516142902 ,2017-05-16T14:29:02.000000Z,36.6,128.92,2.2,2.92,0.02,2.84,0.14,23,3.17,0.11,2.03,0.51,24
20170520072902 ,2017-05-20T07:29:02.000000Z,35.92,128.27,2,2.4,0.01,9.53,0.36,38,2.39,0.13,9.1,3.14,37
20170520132933 ,2017-05-20T13:29:33.000000Z,37.73,129.62,2.9,3.18,0.03,5.81,0.57,7,3.13,0.02,6.81,3.41,7
20170528064738 ,2017-05-28T06:47:38.000000Z,35.67,129.56,2.7,2.81,0.01,5.5,0.22,21,2.76,0.08,5.88,1.73,21
20170603201611 ,2017-06-03T20:16:11.000000Z,36.83,128.1,2.1,2.57,0.01,7.8,0.29,38,2.54,0.12,7.11,2.42,37
20170611091653 ,2017-06-11T09:16:53.000000Z,37.28,129.21,2,2.55,0.02,5.55,0.33,22,2.56,0.16,5.96,1.94,21
20170611113152 ,2017-06-11T11:31:52.000000Z,35.77,129.17,2.5,2.92,0.01,5.04,0.2,30,2.87,0.08,5.45,1.68,30
20170612230151 ,2017-06-12T23:01:51.000000Z,35.74,129.18,2.1,2.49,0.01,6.58,0.28,27,2.44,0.09,6.73,3.52,28
20170613174347 ,2017-06-13T17:43:47.000000Z,38.34,126.14,2.2,2.72,0.04,4.72,0.45,8,2.63,0.11,5.47,2.98,8
20170615075624 ,2017-06-15T07:56:24.000000Z,36.54,125.07,2.4,2.77,0.02,6.37,0.46,4,2.81,0.06,6.23,2.67,4
20170617053009 ,2017-06-17T05:30:09.000000Z,33.38,127.21,2.3,2.44,0.03,5.95,0.53,4,2.64,0.14,4.97,1.52,7
20170620020237 ,2017-06-20T02:02:37.000000Z,35.85,129.08,2,2.49,0.02,5.66,0.24,27,2.44,0.12,5.18,2.16,27
20170627111718 ,2017-06-27T11:17:18.000000Z,35.77,129.2,2,2.43,0.01,9.17,0.42,29,2.39,0.14,8.04,5.2,29
20170705101730 ,2017-07-05T10:17:30.000000Z,35.99,127.97,2.5,2.94,0.01,4.9,0.15,41,2.98,0.07,4.5,1.36,42
20170705210026 ,2017-07-05T21:00:26.000000Z,36,127.94,2.4,2.66,0.01,7.67,0.25,37,2.74,0.1,6.77,1.27,38
20170708184348 ,2017-07-08T18:43:48.000000Z,33.51,125.73,2.1,2.45,0.06,5.62,0.79,7,2.24,0.28,10.04,0.94,7
20170718013105 ,2017-07-18T01:31:05.000000Z,37.69,126.19,2.7,2.88,0.04,4.75,0.48,13,2.65,0.13,7.66,2.82,13
20170719012335 ,2017-07-19T01:23:35.000000Z,33.77,126.12,2.2,2.24,0.04,10.83,1.56,9,2.22,0.23,9.73,4.17,9
20170720053847 ,2017-07-20T05:38:47.000000Z,37.39,129.54,2,2.63,0.02,4.34,0.27,13,2.59,0.08,4.43,1.01,13
20170809045343 ,2017-08-09T04:53:43.000000Z,33.87,125.52,2.7,2.91,0.04,4.74,0.44,4,2.82,0.18,5,0.59,4
20170831205730 ,2017-08-31T20:57:30.000000Z,36.42,127.21,2.1,2.53,0.01,9.57,0.36,38,2.5,0.1,8.71,2.75,38
20170907055807 ,2017-09-07T05:58:07.000000Z,37.6,125.34,2.9,3.26,0.04,5.19,0.52,6,3.2,0.01,5.06,1.02,6
20170915163406 ,2017-09-15T16:34:06.000000Z,34.25,127.13,2.2,1.81,0.03,20.04,0.95,7,1.86,0.09,24.35,24.24,7
20170930063431 ,2017-09-30T06:34:31.000000Z,33.42,127.15,2.5,2.45,0.03,6.61,0.46,6,2.43,0.07,7.91,1,5
20171003171148 ,2017-10-03T17:11:48.000000Z,35.56,129.88,2.4,2.28,0.03,5.2,0.4,14,2.2,0.14,4.5,1.4,13
20171004031031 ,2017-10-04T03:10:31.000000Z,36.16,127.13,2.1,2.16,0.01,11.02,0.53,29,2.1,0.15,9.48,3.8,27
20171008031828 ,2017-10-08T03:18:28.000000Z,34.84,127.25,2.8,3.13,0.01,6.13,0.25,36,3.07,0.1,5.96,2.34,35
20171015210845 ,2017-10-15T21:08:45.000000Z,33.86,125.3,2.8,2.49,0.03,7.39,0.74,3,2.56,0.08,7.95,1.15,3
20171016065115 ,2017-10-16T06:51:15.000000Z,35.79,129.19,2.5,2.54,0.02,7.34,0.35,30,2.46,0.07,6,2.42,26
20171017195603 ,2017-10-17T19:56:03.000000Z,36.59,129.45,2.6,2.98,0.02,5.55,0.26,22,2.97,0.07,4.76,1.85,22
20171019214159 ,2017-10-19T21:41:59.000000Z,35.9,127.54,2,2.43,0.02,12.47,0.89,8,2.43,0.06,12.9,6.73,8
20171020032015 ,2017-10-20T03:20:15.000000Z,38.44,126.16,2.2,2.27,0.06,9.42,1.81,4,2.22,0.02,10.17,5.49,4
20171021041120 ,2017-10-21T04:11:20.000000Z,33.63,126.05,2.7,2.53,0.03,6.21,0.51,8,2.52,0.09,8.59,4.69,8
20171028171456 ,2017-10-28T17:14:56.000000Z,34.39,127.34,2.2,2.19,0.03,10.1,0.98,18,2.11,0.13,14.39,6.66,18
20171030020210 ,2017-10-30T02:02:10.000000Z,36.42,126.48,2.1,2.13,0.02,9.94,0.74,14,2.13,0.1,9.9,4.27,12
20171108003518 ,2017-11-08T00:35:18.000000Z,33.05,126.2,2.5,2.69,0.05,3.21,0.35,3,2.55,0.13,5.74,0.22,3
20171108085249 ,2017-11-08T08:52:49.000000Z,35.16,128.57,2,2.17,0.02,8.33,0.58,21,2.16,0.15,9.1,4.32,19
20171109042942 ,2017-11-09T04:29:42.000000Z,35.75,129.18,2,2.44,0.01,7.91,0.34,25,2.32,0.11,9.3,3.48,24
20171111081851 ,2017-11-11T08:18:51.000000Z,34.84,127.46,2.2,2.36,0.02,8.44,0.49,31,2.32,0.18,7.42,3.51,31
20171115052232 ,2017-11-15T05:22:32.000000Z,36.11,129.36,2.2,2.46,0.02,5.21,0.3,15,2.52,0.07,5.96,1.81,15
20171115052244 ,2017-11-15T05:22:44.000000Z,36.08,129.31,2.6,2.98,0.02,3.9,0.19,21,2.97,0.13,3.99,1,22
20171115052931 ,2017-11-15T05:29:31.000000Z,36.11,129.37,5.4,5.44,0.06,0.54,0.06,24,5.61,0.05,0.37,0.02,7
20171115053259 ,2017-11-15T05:32:59.000000Z,36.1,129.36,3.6,3.74,0.04,2.47,0.19,25,3.63,0.18,3.05,1.68,10
20171115054600 ,2017-11-15T05:46:00.000000Z,36.12,129.39,2.5,2.43,0.03,5.48,0.46,12,2.23,0.06,7.09,1.96,15
20171115055005 ,2017-11-15T05:50:05.000000Z,36.1,129.36,2.4,2.75,0.02,4.27,0.23,19,2.71,0.09,4.67,1.98,21
20171115055255 ,2017-11-15T05:52:55.000000Z,36.11,129.35,2.4,2.39,0.02,6.54,0.38,12,2.23,0.07,7.4,2.79,12
20171100000000 ,2017-11-15T05:56:32.000000Z,36.1,129.35,2.8,3.16,0.02,3.63,0.21,23,3.2,0.11,3.57,0.96,23
20171100000000 ,2017-11-15T05:58:19.000000Z,36.12,129.37,2.9,3.19,0.02,2.99,0.13,24,3.17,0.13,3.19,0.68,23
20171100000000 ,2017-11-15T06:00:54.000000Z,36.11,129.35,2.9,3.3,0.02,2.97,0.15,25,3.28,0.09,2.86,0.9,25
20171100000000 ,2017-11-15T06:09:49.000000Z,36.09,129.34,3.5,3.65,0.02,2.52,0.13,26,3.77,0.06,2.04,0.42,27
20171100000000 ,2017-11-15T06:14:59.000000Z,36.11,129.35,2.5,2.91,0.02,3.55,0.17,23,2.9,0.13,3.39,1.26,21
20171100000000 ,2017-11-15T06:19:46.000000Z,36.14,129.38,2.4,2.75,0.02,4.24,0.21,24,2.69,0.1,5.13,2.03,25
20171100000000 ,2017-11-15T06:23:50.000000Z,36.09,129.35,2.6,3.04,0.02,3.96,0.17,24,3.1,0.11,3.4,0.98,25
20171100000000 ,2017-11-15T06:36:19.000000Z,36.09,129.33,2.3,2.69,0.02,6.01,0.26,23,2.65,0.11,6.19,2.91,23
20171100000000 ,2017-11-15T06:55:00.000000Z,36.12,129.37,2.2,2.52,0.02,5.68,0.28,18,2.55,0.08,5.21,2.12,17
20171100000000 ,2017-11-15T07:11:00.000000Z,36.13,129.36,2.9,3.08,0.01,5.91,0.24,23,3.19,0.1,4.63,1.33,23
20171100000000 ,2017-11-15T07:16:17.000000Z,36.09,129.35,2.4,2.84,0.02,4.25,0.18,25,2.87,0.11,4.33,1.7,25
20171100000000 ,2017-11-15T07:18:36.000000Z,36.14,129.36,2,2.33,0.02,7.52,0.49,15,2.27,0.16,8.39,2.49,20
20171100000000 ,2017-11-15T07:49:30.000000Z,36.12,129.36,4.3,4.54,0.04,1.21,0.1,26,4.68,0.1,0.95,0.19,27
20171100000000 ,2017-11-15T07:57:53.000000Z,36.14,129.37,2.2,2.54,0.03,5.02,0.33,18,2.52,0.21,5.42,2.86,15
20171100000000 ,2017-11-15T08:11:10.000000Z,36.08,129.31,2.8,3.13,0.02,3.64,0.15,24,3.34,0.08,2.17,0.62,24
20171100000000 ,2017-11-15T08:42:53.000000Z,36.14,129.37,2.2,2.48,0.02,5.22,0.29,22,2.41,0.18,6.85,2.7,22
20171100000000 ,2017-11-15T09:41:46.000000Z,36.09,129.32,2.1,2.41,0.02,6.54,0.32,21,2.43,0.18,5.77,2.47,22
20171100000000 ,2017-11-15T09:48:23.000000Z,36.14,129.38,2.1,2.4,0.02,5.61,0.36,16,2.29,0.11,6.35,1.17,17
20171100000000 ,2017-11-15T09:51:33.000000Z,36.14,129.38,2,2.45,0.03,4.48,0.29,18,2.32,0.12,5.86,2.28,19
20171100000000 ,2017-11-15T09:57:36.000000Z,36.11,129.35,2.3,2.7,0.02,4.29,0.2,23,2.72,0.09,4.4,1.31,22
20171100000000 ,2017-11-15T09:58:26.000000Z,36.1,129.35,2.2,2.63,0.02,5.32,0.29,10,2.55,0.09,4.93,1.99,13
20171100000000 ,2017-11-15T09:59:38.000000Z,36.11,129.35,2.1,2.33,0.02,6.98,0.43,18,2.31,0.12,8.57,1.66,17
20171100000000 ,2017-11-15T11:54:25.000000Z,36.1,129.35,2.4,2.95,0.02,5.08,0.21,26,2.93,0.1,4.67,1.94,27
20171100000000 ,2017-11-15T12:35:25.000000Z,36.11,129.36,2,2.37,0.02,5.03,0.32,21,2.3,0.13,6.32,1.92,20
20171100000000 ,2017-11-15T12:59:27.000000Z,36.14,129.36,2.1,2.58,0.02,5.67,0.28,25,2.6,0.14,5.25,1.67,25
20171100000000 ,2017-11-15T13:24:30.000000Z,36.14,129.38,2.1,2.65,0.02,4.06,0.21,24,2.63,0.08,4.5,1.69,23
20171100000000 ,2017-11-15T13:43:12.000000Z,36.1,129.36,2.1,2.38,0.02,5.1,0.29,18,2.26,0.11,6.56,2.96,16
20171100000000 ,2017-11-15T14:05:16.000000Z,36.1,129.36,2,2.49,0.03,3.85,0.24,20,2.42,0.08,4.16,1.1,20
20171100000000 ,2017-11-15T14:18:07.000000Z,36.13,129.38,2.1,2.48,0.02,5.1,0.3,24,2.48,0.07,5.96,1.57,22
20171100000000 ,2017-11-15T15:21:53.000000Z,36.14,129.35,2.4,2.96,0.02,4.34,0.17,25,2.91,0.14,4.5,1.47,25
20171100000000 ,2017-11-15T15:38:14.000000Z,36.09,129.35,2,2.39,0.02,5.76,0.34,21,2.46,0.12,4.79,1.43,20
20171100000000 ,2017-11-15T16:23:12.000000Z,36.09,129.35,2.1,2.48,0.02,5.79,0.3,22,2.47,0.09,5.28,1.58,21
20171100000000 ,2017-11-15T16:36:05.000000Z,36.14,129.36,2.5,3.02,0.02,4.09,0.19,25,2.94,0.08,4.15,1.48,26
20171100000000 ,2017-11-15T17:37:43.000000Z,36.14,129.37,2.3,2.71,0.02,4.41,0.22,26,2.65,0.12,5.3,2.35,25
20171100000000 ,2017-11-15T20:03:37.000000Z,36.08,129.34,2,2.62,0.02,3.51,0.17,22,2.68,0.07,2.96,0.81,21
20171100000000 ,2017-11-15T20:54:11.000000Z,36.09,129.34,2.5,2.91,0.02,4.52,0.21,20,2.96,0.14,3.81,0.75,19
20171100000000 ,2017-11-16T00:47:28.000000Z,36.12,129.37,2.1,2.43,0.02,6.25,0.35,15,2.44,0.13,5.18,1.63,15
20171100000000 ,2017-11-16T01:37:34.000000Z,36.1,129.35,2.3,2.8,0.02,4.61,0.19,23,2.82,0.12,4.71,1.64,23
20171100000000 ,2017-11-16T05:04:04.000000Z,36.13,129.37,2.3,2.86,0.02,3.72,0.16,24,2.88,0.11,3.39,1.18,24
20171100000000 ,2017-11-16T05:31:09.000000Z,36.1,129.34,2,2.18,0.02,8.1,0.52,17,2.19,0.13,8.93,3.05,18
20171100000000 ,2017-11-16T07:48:31.000000Z,36.12,129.36,2.4,2.68,0.02,6.29,0.29,23,2.61,0.07,6.9,1.97,22
20171100000000 ,2017-11-16T08:31:21.000000Z,36.11,129.37,2,2.38,0.02,6.33,0.34,24,2.34,0.09,7.91,3.39,22
20171100000000 ,2017-11-16T08:32:49.000000Z,36.12,129.36,2.2,2.6,0.02,6.22,0.31,22,2.51,0.09,7.41,1.78,22
20171100000000 ,2017-11-16T10:05:05.000000Z,36.12,129.36,2.4,2.78,0.02,5.71,0.24,23,2.76,0.09,6.58,2.08,21
20171100000000 ,2017-11-16T16:17:01.000000Z,36.08,129.33,2.1,2.49,0.02,4.02,0.2,24,2.49,0.11,3.46,1.56,23
20171100000000 ,2017-11-16T23:25:50.000000Z,36.12,129.37,2.1,2.44,0.02,6.03,0.3,18,2.37,0.08,6.93,2.18,19
20171100000000 ,2017-11-17T09:57:15.000000Z,36.1,129.35,2.6,3.12,0.02,4.02,0.18,24,3.1,0.11,4.55,1.53,25
20171100000000 ,2017-11-18T16:18:38.000000Z,36.11,129.34,2,2.38,0.03,4.29,0.29,18,2.25,0.08,5.54,1.5,18
20171100000000 ,2017-11-18T18:33:31.000000Z,36.09,129.35,2.4,2.88,0.02,3.13,0.15,24,2.82,0.08,3.91,1.19,23
20171100000000 ,2017-11-18T20:07:05.000000Z,36.12,129.38,2.1,2.28,0.03,3.86,0.28,15,2.03,0.09,6.32,2.94,15
